code,human_readable_description,version,severity
block_trips_with_overlapping_stop_times,Trips with the same block id have overlapping stop times.,v3.1.1,error
csv_parsing_failed,Parsing of a CSV file failed. One common case of the problem is when a cell value contains more than 4096 characters.,v3.1.1,error
decreasing_shape_distance,"When sorted by shape.shape_pt_sequence, two consecutive shape points must not have decreasing values for shape_dist_traveled.",v3.1.1,error
decreasing_or_equal_stop_time_distance,"When sorted by stop_times.stop_pt_sequence, two consecutive stop times in a trip should have increasing distance. If the values are equal, this is considered as an error.",v3.1.1,error
duplicated_column,The input file CSV header has the same column name repeated.,v3.1.1,error
duplicate_fare_rule_zone_id_fields,"The combination of fare_rules.route_id, fare_rules.origin_id, fare_rules.contains_id and fare_rules.destination_id fields should be unique in GTFS file fare_rules.txt.",v3.1.1,error
duplicate_key,The values of the given key and rows are duplicates.,v3.1.1,error
empty_column_name,A column name has not been provided. Such columns are skipped by the validator.,v3.1.1,error
empty_file,"Empty csv file found in the archive: file does not have any headers, or is a required file and does not have any data. The GTFS specification requires the first line of each file to contain field names and required files must have data.",v3.1.1,error
equal_shape_distance_diff_coordinates,"When sorted by shape.shape_pt_sequence, the values for shape_dist_traveled must increase along a shape. Two consecutive points with equal values for shape_dist_traveled and different coordinates indicate an error.",v3.1.1,error
foreign_key_violation,"The values of the given key and rows of one table cannot be found a values of the given key in another table. The Foreign keys are defined in the specification under ""Type"" for each file.",v3.1.1,error
inconsistent_agency_timezone,Agencies from GTFS agency.txt have been found to have different timezones.,v3.1.1,error
invalid_color,"Value of field with type color is not valid. A color must be encoded as a six-digit hexadecimal number. The leading ""#"" is not included.",v3.1.1,error
invalid_currency,"Value of field with type currency is not valid. Currency code must follow ISO 4217",v3.1.1,error
invalid_date,Value of field with type date is not valid. Dates must have the YYYYMMDD format.,v3.1.1,error
invalid_email,Value of field with type email is not valid. Definitions for valid emails are quite vague. We perform strict validation using the Apache Commons EmailValidator.,v3.1.1,error
invalid_float,Value of field with type float is not valid.,v3.1.1,error
invalid_integer,Value of field with type integer is not valid.,v3.1.1,error
invalid_language_code,"Value of field with type language is not valid. Language codes must follow IETF BCP 47.",v3.1.1,error
invalid_phone_number,"Value of field with type phone number is not valid. This rule uses the PhoneNumberUtil class to validate a phone number based on a country code. If no country code is provided in the parameters used to run the validator, this notice wont be emitted.",v3.1.1,error
invalid_row_length,A row in the input file has a different number of values than specified by the CSV header.,v3.1.1,error
invalid_time,"Value of field with type time is not valid. Time must be in the H:MM:SS, HH:MM:SS or HHH:MM:SS format.",v3.1.1,error
invalid_timezone,"Value of field with type timezone is not valid.Timezones are defined at www.iana.org. Timezone names never contain the space character but may contain an underscore. Refer to Wikipedia for a list of valid values.",v3.1.1,error
invalid_url,Value of field with type url is not valid. Definitions for valid URLs are quite vague. We perform strict validation using the Apache Commons UrlValidator.,v3.1.1,error
location_without_parent_station,"A location that must have parent_station field does not have it. The following location types must have parent_station: entrance, generic node, boarding_area.",v3.1.1,error
location_with_unexpected_stop_time,"Referenced locations (using stop_times.stop_id) must be stops/platforms, i.e. their stops.location_type value must be 0 or empty.",v3.1.1,error
missing_calendar_and_calendar_date_files,Both files calendar_dates.txt and calendar.txt are missing from the GTFS archive. At least one of the files must be provided.,v3.1.1,error
missing_level_id,GTFS file levels.txt is required for elevator (pathway_mode=5). A row from stops.txt linked to an elevator pathway has no value for stops.level_id.,v3.1.1,error
missing_required_column,A required column is missing in the input file.,v3.1.1,error
